,student_count,cost_of_study
0,0,inf
1,1,48719378.2
2,2,24359689.1
3,3,16239792.733333334
4,4,12179844.55
5,5,9743875.64
6,6,8119896.366666667
7,7,6959911.171428571
8,8,6089922.275
9,9,5413264.244444445
10,10,4871937.82
11,11,4429034.381818182
12,12,4059948.1833333336
13,13,3747644.4769230774
14,14,3479955.5857142857
15,15,3247958.546666667
16,16,3044961.1375
17,17,2865845.7764705885
18,18,2706632.1222222224
19,19,2564177.8000000003
20,20,2435968.91
21,21,2319970.3904761905
22,22,2214517.190909091
23,23,2118233.834782609
24,24,2029974.0916666668
25,25,1948775.128
26,26,1873822.2384615387
27,27,1804421.414814815
28,28,1739977.7928571429
29,29,1679978.5586206897
30,30,1623979.2733333334
31,31,1571592.8451612904
32,32,1522480.56875
33,33,1476344.793939394
34,34,1432922.8882352943
35,35,1391982.2342857143
36,36,1353316.0611111112
37,37,1316739.9513513513
38,38,1282088.9000000001
39,39,1249214.8256410258
40,40,1217984.455
41,41,1188277.5170731707
42,42,1159985.1952380952
43,43,1133008.7953488373
44,44,1107258.5954545455
45,45,1082652.848888889
46,46,1059116.9173913044
47,47,1036582.5148936171
48,48,1014987.0458333334
49,49,994273.024489796
50,50,974387.564
51,51,955281.9254901961
52,52,936911.1192307693
53,53,919233.5509433963
54,54,902210.7074074075
55,55,885806.8763636365
56,56,869988.8964285714
57,57,854725.9333333333
58,58,839989.2793103448
59,59,825752.172881356
60,60,811989.6366666667
61,61,798678.3311475411
62,62,785796.4225806452
63,63,773323.4634920636
64,64,761240.284375
65,65,749528.8953846154
66,66,738172.396969697
67,67,727154.8985074627
68,68,716461.4441176471
69,69,706077.9449275363
70,70,695991.1171428572
71,71,686188.4253521127
72,72,676658.0305555556
73,73,667388.7424657535
74,74,658369.9756756757
75,75,649591.7093333334
76,76,641044.4500000001
77,77,632719.1974025974
78,78,624607.4128205129
79,79,616700.9898734178
80,80,608992.2275
81,81,601473.8049382716
82,82,594138.7585365854
83,83,586980.4602409638
84,84,579992.5976190476
85,85,573169.1552941176
86,86,566504.3976744186
87,87,559992.8528735633
88,88,553629.2977272727
89,89,547408.7438202248
90,90,541326.4244444445
91,91,535377.7824175825
92,92,529558.4586956522
93,93,523864.2817204301
94,94,518291.25744680857
95,95,512835.56000000006
96,96,507493.5229166667
97,97,502261.63092783507
98,98,497136.512244898
99,99,492114.93131313135
