,student_count,cost_of_study
0,0,inf
1,1,29687378.2
2,2,14843689.1
3,3,9895792.733333332
4,4,7421844.55
5,5,5937475.64
6,6,4947896.366666666
7,7,4241054.028571429
8,8,3710922.275
9,9,3298597.577777778
10,10,2968737.82
11,11,2698852.5636363635
12,12,2473948.183333333
13,13,2283644.476923077
14,14,2120527.0142857144
15,15,1979158.5466666666
16,16,1855461.1375
17,17,1746316.3647058823
18,18,1649298.788888889
19,19,1562493.589473684
20,20,1484368.91
21,21,1413684.6761904762
22,22,1349426.2818181817
23,23,1290755.5739130434
24,24,1236974.0916666666
25,25,1187495.128
26,26,1141822.2384615385
27,27,1099532.525925926
28,28,1060263.5071428572
29,29,1023702.6965517241
30,30,989579.2733333333
31,31,957657.3612903225
32,32,927730.56875
33,33,899617.5212121212
34,34,873158.1823529411
35,35,848210.8057142857
36,36,824649.3944444444
37,37,802361.572972973
38,38,781246.794736842
39,39,761214.8256410257
40,40,742184.455
41,41,724082.3951219512
42,42,706842.3380952381
43,43,690404.1441860464
44,44,674713.1409090909
45,45,659719.5155555556
46,46,645377.7869565217
47,47,631646.3446808511
48,48,618487.0458333333
49,49,605864.8612244898
50,50,593747.564
51,51,582105.4549019608
52,52,570911.1192307692
53,53,560139.2113207547
54,54,549766.262962963
55,55,539770.5127272727
56,56,530131.7535714286
57,57,520831.19649122807
58,58,511851.34827586205
59,59,503175.90169491526
60,60,494789.63666666666
61,61,486678.33114754094
62,62,478828.68064516125
63,63,471228.2253968254
64,64,463865.284375
65,65,456728.89538461535
66,66,449808.7606060606
67,67,443095.19701492536
68,68,436579.09117647057
69,69,430251.85797101445
70,70,424105.40285714285
71,71,418132.0873239437
72,72,412324.6972222222
73,73,406676.4136986301
74,74,401180.7864864865
75,75,395831.7093333333
76,76,390623.397368421
77,77,385550.3662337662
78,78,380607.41282051284
79,79,375789.59746835445
80,80,371092.2275
81,81,366510.8419753086
82,82,362041.1975609756
83,83,357679.25542168674
84,84,353421.16904761904
85,85,349263.2729411765
86,86,345202.0720930232
87,87,341234.23218390805
88,88,337356.57045454544
89,89,333566.04719101125
90,90,329859.7577777778
91,91,326234.92527472525
92,92,322688.89347826084
93,93,319219.1204301075
94,94,315823.17234042555
95,95,312498.71789473685
96,96,309243.52291666664
97,97,306055.44536082476
98,98,302932.4306122449
99,99,299872.50707070704
